Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-04 16:58:19,2018-04-04 16:58:38,19.098s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-04 16:58:20,2018-04-04 16:58:37,17.574s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-04 16:58:20,2018-04-04 16:58:20,0.004s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-04 16:58:20,2018-04-04 16:58:32,11.615s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-04 16:58:32,2018-04-04 16:58:33,1.266s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-04 16:58:33,2018-04-04 16:58:37,3.982s,PASSED
click,Firefox 58.0,,2018-04-04 16:58:37,2018-04-04 16:58:37,0.290s,PASSED
com.cct.util.Verify.isConTrainsText,Firefox 58.0,,2018-04-04 16:58:37,2018-04-04 16:58:37,0.116s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-04 16:58:37,2018-04-04 16:58:37,0.146s,PASSED
