Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-11 10:25:24,2018-04-11 10:27:42,2m - 17.648s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-11 10:25:39,2018-04-11 10:25:46,7.000s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:25:39,2018-04-11 10:25:39,0.003s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:25:39,2018-04-11 10:25:40,0.368s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 10:25:40,2018-04-11 10:25:46,5.853s,PASSED
click,Firefox 58.0,,2018-04-11 10:25:46,2018-04-11 10:25:46,0.315s,PASSED
util.Verify.isConTrainsText,Firefox 58.0,,2018-04-11 10:25:46,2018-04-11 10:25:46,0.165s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 10:25:46,2018-04-11 10:25:46,0.121s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 10:25:46,2018-04-11 10:25:53,6.621s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:25:46,2018-04-11 10:25:46,0.002s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:25:46,2018-04-11 10:25:47,0.489s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 10:25:47,2018-04-11 10:25:52,5.515s,PASSED
click,Firefox 58.0,,2018-04-11 10:25:52,2018-04-11 10:25:53,0.289s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 10:25:53,2018-04-11 10:25:53,0.117s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 10:25:53,2018-04-11 10:25:53,0.027s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 10:25:53,2018-04-11 10:26:00,6.654s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:25:53,2018-04-11 10:25:53,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:25:53,2018-04-11 10:25:53,0.560s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 10:25:53,2018-04-11 10:25:59,5.623s,PASSED
click,Firefox 58.0,,2018-04-11 10:25:59,2018-04-11 10:25:59,0.299s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 10:25:59,2018-04-11 10:25:59,0.121s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 10:25:59,2018-04-11 10:26:00,0.030s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 10:26:00,2018-04-11 10:26:06,6.494s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:26:00,2018-04-11 10:26:00,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:26:00,2018-04-11 10:26:00,0.543s,PASSED
